State/UT,Beds,Population,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,Gr_80
Andaman and Nicobar Islands,1246,375038,12082,14817,94454,80168,61474,42287,48860,15387,5509
Andhra Pradesh,60799,52520054,1691964,2075050,13227116,11226554,8608798,5921874,6842345,2154860,771493
Arunachal Pradesh,2320,1364770,43967,53921,343717,291730,223706,153884,177803,55995,20047
Assam,19115,30767184,991182,1215601,7748681,6576716,5043188,3469139,4008368,1262355,451954
Bihar,17796,125115242,4030660,4943262,31510131,26744318,20508202,14107311,16300091,5133388,1837879
Chandigarh,3756,1525179,49134,60259,384115,326019,249999,171971,198701,62577,22404
Chhattisgarh,14354,25210722,812178,996067,6349292,5388981,4132403,2842623,3284469,1034377,370332
Delhi,20572,19928211,641999,787357,5018897,4259804,3266523,2246996,2596260,817640,292735
Goa,2666,1438913,46355,56851,362389,307579,235859,162244,187463,59037,21136
Gujarat,41129,70599289,2274397,2789355,17780350,15091126,11572247,7960390,9197719,2896638,1037067
Haryana,13841,29423500,947895,1162513,7410275,6289493,4822938,3317633,3833312,1207225,432216
Himachal Pradesh,8706,7564308,243688,298863,1905063,1616928,1239900,852910,985483,310358,111115
Jammu and Kashmir,11342,14657849,472211,579126,3691563,3133225,2402634,1652739,1909634,601401,215316
Jharkhand,7404,32540970,1048326,1285683,8195406,6955876,5333937,3669142,4239458,1335132,478010
Karnataka,56333,69553407,2240703,2748032,17516946,14867561,11400812,7842462,9061461,2853726,1021704
Kerala,39511,34669876,1116910,1369795,8731569,7410945,5682895,3909186,4516813,1422480,509283
Lakshadweep,250,63593,2048,2512,16017,13594,10424,7170,8285,2609,934
Madhya Pradesh,38140,84934275,2736207,3355725,21390600,18155336,13921959,9576725,11065290,3484792,1247641
Maharashtra,68998,126809694,4085248,5010209,31936876,27106520,20785947,14298368,16520846,5202910,1862770
Manipur,2562,2686641,86551,106148,676628,574290,440380,302931,350017,110231,39465
Meghalaya,4585,2925768,94255,115596,736852,625405,479576,329893,381171,120042,42978
Mizoram,2312,1076936,34694,42549,271226,230203,176526,121429,140304,44186,15819
Nagaland,1944,1955049,62983,77243,492377,417907,320461,220441,254705,80214,28718
Odisha,16497,46827272,1508567,1850130,11793395,10009680,7675669,5279987,6100686,1921289,687869
Puducherry,4462,1228405,39573,48534,309373,262581,201354,138508,160038,50400,18044
Punjab,13527,30851025,993883,1218914,7769796,6594637,5056930,3478593,4019291,1265795,453186
Rajasthan,51844,78510680,2529267,3101931,19772825,16782245,12869039,8852435,10228420,3221236,1153282
Sikkim,1145,649864,20935,25676,163668,138914,106522,73275,84665,26663,9546
Tamil Nadu,72616,81655139,2630567,3226168,20564754,17454397,13384461,9206987,10638082,3350251,1199472
Telangana,17358,34739971,1119168,1372565,8749222,7425929,5694385,3917089,4525945,1425356,510312
Tripura,4895,3623669,116738,143170,912618,774587,593972,408585,472094,148676,53229
Uttar Pradesh,58310,234036493,7539621,9246705,58941822,50027050,38361974,26388676,30490420,9602348,3437877
Uttarakhand,6660,9986241,321712,394553,2515024,2134634,1636890,1125994,1301014,409728,146692
West Bengal,51163,101416217,3267182,4006921,25541558,21678475,16623588,11435138,13212568,4161034,1489753
