Date,States/UT,TotalSamples,Negative,Positive
22-04-2020,Andhra Pradesh,41512,40699,813
22-04-2020,Arunachal Pradesh,496,441,2
22-04-2020,Bihar,12978,,136
22-04-2020,Chandigarh,529,492,27
22-04-2020,Chhattisgarh,9220,8296,36
22-04-2020,Dadra and Nagar Haveli and Daman and Diu,674,674,0
22-04-2020,Delhi,28309,22713,2248
22-04-2020,Goa,1116,,7
22-04-2020,Gujarat,39421,37014,2407
22-04-2020,Haryana,15561,13397,264
22-04-2020,Himachal Pradesh,3700,3510,39
22-04-2020,Jammu and Kashmir,10039,9632,407
22-04-2020,Jharkhand,5176,5127,49
22-04-2020,Karnataka,29512,25424,427
22-04-2020,Kerala,20821,19998,437
22-04-2020,Madhya Pradesh,22664,21077,1587
22-04-2020,Maharashtra,82304,77638,5229
22-04-2020,Meghalaya,1046,904,12
22-04-2020,Mizoram,135,,1
22-04-2020,Nagaland,543,481,0
22-04-2020,Odisha,13775,,83
22-04-2020,Puducherry,1473,1354,7
22-04-2020,Punjab,7887,7100,257
22-04-2020,Rajasthan,66257,58552,1888
22-04-2020,Tamil Nadu,59023,49506,1629
22-04-2020,Tripura,3215,3123,2
22-04-2020,Uttar Pradesh,42192,40263,1449
22-04-2020,Uttarakhand,4275,3664,46
22-04-2020,West Bengal,7037,,423
